,season,team,pa,hit_hr,runs_scored,rbi,hit_bb_rate,hit_k_rate,iso,bat_avg,obp,slg,woba,wrc_plus,hit_fwar,hit_hits,ops,wins,losses,saves,games,ip,era,fip,pitch_fwar,pitch_hits,runs_allowed,er,pitch_hr,pitch_bb,pitch_so,pitch_k_rate,pitch_bb_rate,whip,fp,drs,uzr,win_pct,run_diff
0,2006,ARI,6330,160,773,743,0.08,0.152,0.157,0.267,0.331,0.424,0.326,87,10.8,1506,0.755,76,86,34,162,1459.2,4.49,4.34,19.0,1503,788,728,168,536,1115,0.17600000000000002,0.085,1.4,0.983,5,-27.7,0.4691358024691358,-15
1,2006,ATL,6284,222,849,818,0.084,0.18600000000000003,0.184,0.27,0.337,0.455,0.33899999999999997,100,23.7,1510,0.7909999999999999,79,83,38,162,1441.1,4.6,4.65,11.0,1529,805,736,183,572,1049,0.165,0.09,1.46,0.9840000000000001,-13,10.0,0.4876543209876543,44
2,2006,BAL,6240,164,768,727,0.076,0.141,0.146,0.27699999999999997,0.33899999999999997,0.424,0.331,96,17.1,1556,0.763,70,92,35,162,1419.0,5.35,5.09,7.6,1579,899,844,216,613,1016,0.161,0.09699999999999999,1.54,0.983,-13,4.8,0.43209876543209874,-131
3,2006,BOS,6435,192,820,777,0.10400000000000001,0.16399999999999998,0.166,0.26899999999999996,0.35100000000000003,0.435,0.34,100,16.1,1510,0.7859999999999999,86,76,46,162,1441.1,4.83,4.5,13.4,1570,825,773,181,509,1070,0.17,0.081,1.44,0.9890000000000001,-57,-21.9,0.5308641975308642,-5
4,2006,CHC,6147,166,716,677,0.064,0.151,0.154,0.268,0.319,0.42200000000000004,0.32,84,13.7,1496,0.741,66,96,29,162,1439.0,4.74,4.88,10.4,1396,834,758,210,687,1250,0.196,0.10800000000000001,1.45,0.982,-16,31.2,0.4074074074074074,-118
5,2006,CHW,6318,236,868,839,0.079,0.16699999999999998,0.184,0.28,0.342,0.46399999999999997,0.34600000000000003,103,19.3,1586,0.8059999999999999,90,72,46,162,1449.0,4.61,4.56,19.2,1534,794,743,200,433,1012,0.162,0.069,1.36,0.985,-36,-15.9,0.5555555555555556,74
6,2006,CIN,6296,217,749,718,0.098,0.18899999999999997,0.175,0.257,0.336,0.43200000000000005,0.332,94,19.8,1419,0.768,80,82,36,162,1445.2,4.53,4.69,14.7,1576,801,728,213,464,1053,0.16699999999999998,0.073,1.41,0.9790000000000001,-47,-12.8,0.49382716049382713,-52
7,2006,CLE,6303,196,870,839,0.08800000000000001,0.191,0.177,0.28,0.349,0.457,0.34700000000000003,108,21.2,1576,0.8059999999999999,78,84,24,162,1423.1,4.43,4.34,16.4,1583,782,701,166,429,948,0.153,0.069,1.41,0.981,-46,-39.3,0.48148148148148145,88
8,2006,COL,6348,157,813,761,0.08800000000000001,0.175,0.163,0.27,0.341,0.433,0.33299999999999996,87,13.5,1504,0.774,76,86,34,162,1447.1,4.66,4.51,17.3,1549,812,749,155,553,952,0.151,0.08800000000000001,1.45,0.985,23,-10.3,0.4691358024691358,1
9,2006,DET,6198,203,822,785,0.069,0.183,0.174,0.27399999999999997,0.32899999999999996,0.449,0.33399999999999996,99,21.8,1548,0.777,95,67,46,162,1448.0,3.85,4.32,18.5,1420,675,620,160,489,1003,0.163,0.08,1.32,0.983,54,35.0,0.5864197530864198,147
10,2006,HOU,6326,174,735,708,0.092,0.17,0.154,0.255,0.332,0.409,0.322,90,19.7,1407,0.741,82,80,42,162,1468.2,4.09,4.27,19.2,1425,719,668,182,480,1160,0.187,0.077,1.3,0.987,56,37.0,0.5061728395061729,16
11,2006,KCR,6229,124,757,718,0.076,0.16699999999999998,0.14,0.271,0.332,0.41100000000000003,0.32299999999999995,92,18.3,1515,0.743,62,100,35,162,1426.1,5.67,5.29,0.5,1648,971,899,213,637,904,0.141,0.099,1.6,0.9840000000000001,30,50.6,0.38271604938271603,-214
12,2006,LAA,6221,159,766,737,0.078,0.147,0.15,0.27399999999999997,0.33399999999999996,0.425,0.327,95,17.0,1539,0.759,89,73,50,162,1452.2,4.04,4.03,21.3,1410,732,652,158,471,1164,0.18899999999999997,0.077,1.29,0.9790000000000001,-2,-1.0,0.5493827160493827,34
