"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"2006","Angels","2050","1458","13074.0","4358","1544","124","77","44","365","156","122","156","18","77","40","8","85",".979",""
"2006","Orioles","2129","1458","12771.0","4257","1607","102","54","47","373","158","119","156","18","80","50","15","59",".983",""
"2006","Red Sox","2165","1458","12972.0","4324","1662","66","37","28","414","176","131","175","22","108","23","24","52",".989",""
"2006","White Sox","2069","1458","13041.0","4347","1652","90","49","39","361","150","109","148","27","116","34","13","51",".985",""
"2006","Indians","1938","1458","12810.0","4270","1670","118","69","45","394","170","122","165","27","128","34","7","46",".981",""
"2006","Tigers","2025","1458","13032.0","4344","1779","106","61","45","394","163","120","162","19","49","35","6","44",".983",""
"2006","Royals","2069","1458","12837.0","4279","1657","98","59","39","461","195","150","191","31","58","30","10","85",".984",""
"2006","Twins","2006","1458","12954.0","4318","1646","84","40","43","317","135","104","134","22","54","31","5","40",".986",""
"2006","Yankees","2240","1458","12993.0","4331","1593","104","53","50","356","147","107","145","18","92","47","17","46",".983",""
"2006","Athletics","2016","1458","13065.0","4355","1624","84","43","39","417","177","131","175","17","88","41","10","43",".986",""
"2006","Mariners","2023","1458","13020.0","4340","1630","88","51","37","365","153","115","151","29","72","38","16","47",".985",""
"2006","Devil Rays","2080","1458","12783.0","4261","1591","116","70","45","363","159","115","158","29","108","46","8","70",".981",""
"2006","Rangers","2048","1458","12882.0","4294","1748","97","55","40","415","174","134","174","27","67","40","11","34",".984",""
"2006","Blue Jays","2146","1458","12855.0","4284","1713","99","42","56","366","160","122","158","31","130","32","15","53",".984",""
"2006","Diamondbacks","2075","1458","13137.0","4379","1776","104","54","48","399","173","126","172","15","90","45","11","53",".983",""
"2006","Braves","2203","1458","12972.0","4324","1607","99","53","44","368","147","113","146","25","101","30","8","39",".984",""
"2006","Cubs","2190","1458","12951.0","4317","1481","106","51","54","267","123","81","122","33","118","39","12","68",".982",""
"2006","Reds","2129","1458","13011.0","4337","1596","128","60","66","320","140","102","139","20","50","35","9","40",".979",""
"2006","Rockies","2105","1458","13026.0","4342","1815","91","56","35","477","191","152","189","20","99","42","8","43",".985",""
"2006","Marlins","2212","1458","12900.0","4300","1588","126","61","64","420","170","137","169","23","69","46","14","47",".979",""
"2006","Astros","2231","1458","13218.0","4406","1749","80","51","27","407","168","129","164","25","78","28","7","44",".987",""
"2006","Dodgers","2176","1458","13143.0","4382","1794","115","63","52","432","178","135","174","30","110","38","7","54",".982",""
"2006","Brewers","2011","1458","12831.0","4277","1579","117","58","59","317","128","100","128","21","97","31","3","57",".980",""
"2006","Nationals","2165","1458","12927.0","4309","1499","131","64","62","259","123","91","123","25","110","30","11","47",".978",""
"2006","Mets","2065","1458","13152.0","4384","1638","104","48","54","304","131","103","132","20","111","40","10","37",".983",""
"2006","Phillies","2183","1458","13143.0","4381","1686","104","50","52","388","156","121","153","23","94","35","11","58",".983",""
"2006","Pirates","2118","1458","12915.0","4305","1788","104","61","43","410","173","128","169","21","102","52","16","61",".983",""
"2006","Cardinals","2217","1449","12867.0","4289","1779","98","69","29","435","171","140","170","19","63","32","8","35",".984",""
"2006","Padres","2156","1458","13173.0","4391","1595","92","46","42","341","141","103","138","27","150","26","11","34",".985",""
"2006","Giants","2164","1449","12867.0","4289","1578","91","48","43","312","134","101","132","14","98","40","5","50",".985",""
"2007","Angels","2030","1458","12915.0","4305","1550","101","55","44","370","157","109","154","34","107","31","8","69",".983",""
"2007","Orioles","2140","1458","12948.0","4316","1690","79","41","37","383","156","125","155","32","109","32","19","55",".987",""
"2007","Red Sox","2103","1458","12948.0","4316","1538","81","42","39","329","146","108","146","21","107","32","10","33",".986",""
"2007","White Sox","2065","1458","12966.0","4322","1604","108","52","53","390","168","129","168","24","98","23","20","45",".982",""
"2007","Indians","2047","1458","13164.0","4388","1697","92","52","38","386","168","123","168","18","93","46","8","42",".985",""
"2007","Tigers","2113","1458","13026.0","4342","1635","99","51","47","365","148","119","148","37","73","31","10","75",".984",""
"2007","Royals","2100","1458","12936.0","4312","1553","106","54","49","384","160","116","160","27","70","26","5","56",".982",""
"2007","Twins","2037","1458","12930.0","4310","1611","95","45","48","363","152","116","151","23","65","41","6","46",".984",""
"2007","Yankees","2184","1458","13056.0","4352","1588","88","55","31","430","174","134","174","37","136","44","16","59",".985",""
"2007","Athletics","2038","1458","13032.0","4344","1687","90","42","46","379","154","117","153","27","101","26","16","52",".985",""
"2007","Mariners","2104","1458","12909.0","4303","1656","90","46","43","392","167","121","167","33","69","45","8","59",".985",""
"2007","Devil Rays","2029","1458","12867.0","4289","1548","117","60","56","362","155","113","155","28","96","44","14","55",".980",""
"2007","Rangers","2156","1458","12870.0","4290","1744","124","65","59","412","179","136","179","22","98","47","14","66",".980",""
"2007","Blue Jays","2056","1458","13038.0","4346","1853","102","49","52","416","162","139","161","36","134","24","6","42",".984",""
"2007","Diamondbacks","2151","1458","12969.0","4323","1635","106","60","44","395","160","126","159","19","88","42","15","48",".983",""
"2007","Braves","2170","1458","13107.0","4369","1657","107","56","50","333","143","106","143","32","98","30","10","48",".983",""
"2007","Cubs","2214","1458","13020.0","4340","1535","94","52","40","329","134","96","134","33","116","24","16","42",".984",""
"2007","Reds","2196","1458","13047.0","4349","1517","95","59","35","367","156","114","156","31","88","31","14","54",".984",""
"2007","Rockies","2210","1467","13248.0","4416","1842","68","30","38","440","181","138","182","27","96","25","9","35",".989",""
"2007","Marlins","2205","1458","12993.0","4331","1510","137","69","68","367","161","114","161","30","94","33","19","67",".977",""
"2007","Astros","2259","1458","13182.0","4394","1689","103","64","39","322","130","101","129","21","84","28","6","40",".983",""
"2007","Dodgers","2203","1458","13050.0","4350","1651","114","54","58","400","160","124","160","34","96","46","5","44",".981",""
"2007","Brewers","2140","1458","12999.0","4333","1529","109","53","50","358","144","112","144","21","99","24","6","57",".982",""
"2007","Nationals","2283","1458","13020.0","4340","1567","109","47","58","385","153","118","153","28","80","37","9","52",".982",""
"2007","Mets","2094","1458","13071.0","4357","1518","101","50","50","302","124","93","124","24","105","29","5","36",".983",""
"2007","Phillies","2255","1458","13125.0","4375","1723","89","54","34","375","165","114","165","20","84","39","8","46",".986",""
"2007","Pirates","2121","1458","13029.0","4343","1721","83","55","26","463","191","143","191","16","110","35","13","45",".986",""
"2007","Cardinals","2263","1458","12921.0","4307","1672","121","72","47","363","157","120","157","35","58","34","10","39",".980",""
"2007","Padres","2103","1467","13362.0","4454","1766","92","50","39","352","147","115","147","17","189","20","9","42",".985",""
"2007","Giants","2197","1458","13083.0","4361","1666","88","54","32","378","149","127","148","30","77","33","21","49",".986",""
"2008","Angels","2030","1458","13062.0","4354","1646","91","44","47","406","161","133","160","50","109","31","10","50",".985",""
"2008","Orioles","2126","1449","12798.0","4266","1661","100","46","52","402","163","127","164","45","130","33","15","72",".983",""
