"Season","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"2009","NYY","6449","10.3%","15.7%","0.65",".283",".362",".478",".839",".194","4.6",".306","-5.3","-0.6","6.1","964","191.0",".365","117"
"2007","NYY","6528","9.8%","15.2%","0.64",".290",".366",".463",".829",".174","5.0",".318","4.0","6.4","1.5","973","165.8",".361","119"
"2006","NYY","6455","10.1%","16.3%","0.62",".285",".363",".461",".824",".177","4.9",".315","-5.7","3.2","9.9","943","132.8",".356","113"
"2019","HOU","6394","10.1%","18.2%","0.55",".274",".352",".495",".848",".221","4.3",".296","-3.7","-4.0","-1.8","996","191.8",".355","126"
"2008","TEX","6478","9.2%","18.6%","0.49",".283",".354",".462",".816",".179","4.9",".325","1.7","8.1","1.3","919","139.6",".355","112"
"2007","BOS","6426","10.7%","16.2%","0.66",".279",".362",".444",".806",".165","4.7",".315","-7.9","-0.4","3.3","906","111.3",".352","109"
"2011","BOS","6414","9.0%","17.3%","0.52",".280",".349",".461",".810",".181","4.6",".314","-10.9","0.6","-1.9","902","181.6",".352","117"
"2008","BOS","6402","10.1%","16.7%","0.60",".280",".358",".447",".805",".168","4.8",".315","-8.0","-1.4","4.7","893","122.4",".351","110"
"2009","BOS","6344","10.4%","17.7%","0.59",".270",".352",".454",".806",".184","5.0",".301","-11.6","-0.8","4.7","877","116.8",".351","106"
"2007","PHI","6537","9.8%","18.4%","0.53",".274",".354",".458",".812",".184","5.5",".311","1.5","5.0","14.1","912","104.0",".351","105"
"2017","HOU","6271","8.1%","17.3%","0.47",".282",".346",".478",".823",".196","4.5",".309","3.2","-1.6","-2.0","911","146.8",".349","121"
"2006","TOR","6241","8.2%","14.5%","0.57",".284",".348",".463",".811",".179","4.1",".306","-0.8","-10.5","-3.7","874","90.7",".349","107"
"2008","CHC","6384","10.0%","18.6%","0.54",".278",".354",".443",".797",".165","4.2",".321","1.6","5.9","-1.4","868","99.9",".349","104"
"2011","TEX","6261","7.6%","14.9%","0.51",".283",".340",".460",".800",".177","5.1",".304","18.9","-3.6","5.3","858","154.8",".347","112"
"2007","DET","6364","7.4%","16.6%","0.45",".287",".345",".458",".802",".171","5.5",".323","3.5","1.9","2.6","872","84.9",".347","108"
"2019","MIN","6392","8.2%","20.9%","0.39",".270",".338",".494",".832",".224","3.5",".300","-6.5","4.9","-6.8","953","148.8",".347","116"
"2013","BOS","6382","9.1%","20.5%","0.44",".277",".349",".446",".795",".169","5.2",".329","0.4","1.2","11.7","863","163.7",".347","114"
"2006","CLE","6303","8.8%","19.1%","0.46",".280",".349",".457",".806",".177","4.2",".324","-3.3","1.8","-1.4","873","81.9",".347","108"
"2016","BOS","6320","8.8%","18.4%","0.48",".282",".348",".461",".810",".179","4.6",".320","5.9","1.5","3.2","893","148.6",".346","113"
"2019","NYY","6245","9.1%","23.0%","0.40",".267",".339",".490",".829",".222","4.1",".306","0.2","0.8","-1.8","928","141.7",".346","116"
"2010","NYY","6379","10.4%","17.8%","0.58",".267",".350",".436",".786",".169","4.8",".300","3.4","5.3","3.4","860","127.4",".346","112"
"2009","LAA","6305","8.7%","16.7%","0.52",".285",".350",".441",".792",".156","5.0",".322","11.0","-1.2","-1.2","844","88.0",".346","108"
"2007","COL","6498","9.6%","17.7%","0.54",".280",".354",".437",".791",".158","4.9",".322","6.5","2.5","1.1","878","74.2",".346","97"
"2006","CHW","6318","7.9%","16.7%","0.48",".280",".342",".464",".806",".184","4.2",".305","-10.9","7.2","-4.7","869","75.8",".346","103"
"2010","BOS","6356","9.2%","17.9%","0.51",".268",".339",".451",".790",".183","4.1",".299","-11.0","1.7","2.1","851","121.3",".345","109"
"2011","NYY","6306","9.9%","18.0%","0.55",".263",".343",".444",".788",".181","5.2",".292","4.3","-3.2","5.5","849","140.2",".345","113"
"2015","TOR","6231","9.1%","18.5%","0.50",".269",".340",".457",".797",".188","4.6",".298","5.1","0.3","5.6","854","153.1",".344","117"
"2008","DET","6331","9.0%","17.0%","0.53",".271",".340",".444",".784",".173","4.4",".301","-1.3","-0.7","-4.7","837","74.7",".343","106"
"2008","STL","6370","9.1%","15.5%","0.59",".281",".350",".433",".783",".152","4.1",".312","0.0","-6.7","-3.3","835","68.7",".342","107"
"2009","TBR","6223","10.3%","19.7%","0.52",".263",".343",".439",".782",".177","5.5",".303","5.3","7.1","9.2","812","66.4",".342","109"
"2012","NYY","6231","9.1%","18.9%","0.48",".265",".337",".453",".790",".188","4.1",".293","-1.5","2.8","1.0","843","132.3",".342","113"
"2006","PHI","6509","9.6%","18.5%","0.52",".267",".347",".447",".794",".180","4.9",".302","4.9","8.5","5.1","869","51.7",".341","100"
"2009","COL","6241","10.6%","20.5%","0.52",".261",".343",".441",".784",".180","5.0",".305","9.8","1.4","-5.9","808","60.4",".341","96"
"2013","DET","6388","8.3%","16.8%","0.49",".283",".346",".434",".780",".151","3.3",".320","-14.1","1.6","-6.5","838","137.5",".341","114"
"2006","BOS","6435","10.4%","16.4%","0.64",".269",".351",".435",".786",".166","3.4",".298","-10.6","2.6","-2.3","856","48.5",".340","100"
"2007","FLA","6344","8.2%","21.0%","0.39",".267",".336",".448",".784",".181","5.0",".315","-5.0","7.3","1.5","825","40.5",".340","101"
"2010","CIN","6285","8.3%","19.4%","0.43",".272",".338",".436",".774",".164","4.4",".314","11.2","5.0","-3.5","812","90.0",".340","106"
"2018","BOS","6302","9.0%","19.9%","0.45",".268",".339",".453",".792",".185","5.2",".309","-8.7","-5.1","8.7","865","128.8",".340","111"
"2008","CHW","6231","8.7%","16.3%","0.53",".263",".332",".448",".780",".185","3.7",".281","-13.9","-8.6","-4.9","806","55.5",".339","101"
"2006","ATL","6284","8.4%","18.6%","0.45",".270",".337",".455",".791",".184","4.0",".304","-4.8","-1.5","-7.1","821","32.0",".339","100"
"2009","PHI","6338","9.3%","18.2%","0.51",".258",".334",".447",".781",".189","5.2",".286","4.4","7.4","8.2","808","48.1",".339","103"
"2016","COL","6236","7.9%","21.3%","0.37",".275",".336",".457",".794",".182","4.7",".326","5.3","1.9","-6.1","836","101.5",".339","94"
"2019","LAD","6281","9.7%","21.6%","0.45",".257",".338",".472",".810",".215","4.2",".291","2.8","5.2","3.9","885","94.0",".338","111"
"2019","BOS","6475","9.1%","21.3%","0.43",".269",".340",".466",".806",".197","4.3",".313","-4.5","0.3","-2.8","915","100.1",".338","106"
"2009","MIN","6346","9.2%","16.1%","0.57",".274",".345",".429",".774",".155","4.7",".306","19.4","-3.4","-0.7","808","47.6",".338","104"
"2008","NYY","6257","8.6%","16.2%","0.53",".271",".342",".427",".769",".156","4.5",".302","-1.9","-7.6","2.8","800","46.5",".338","104"
"2007","MIL","6238","8.0%","18.2%","0.44",".262",".329",".456",".785",".194","4.9",".289","6.1","0.5","0.8","800","28.1",".337","100"
"2006","TEX","6273","8.1%","16.9%","0.48",".278",".338",".446",".784",".168","3.9",".311","-2.7","-2.6","-2.1","818","30.6",".337","97"
"2014","COL","6164","6.4%","20.8%","0.31",".276",".327",".445",".772",".169","4.6",".326","-5.8","0.0","-6.5","787","125.0",".337","97"
"2009","TOR","6362","8.6%","16.2%","0.53",".266",".333",".440",".773",".174","3.8",".290","8.8","2.4","1.0","806","43.9",".337","101"
"2006","LAD","6394","9.4%","15.0%","0.63",".276",".348",".432",".781",".157","5.3",".307","-4.8","-1.7","1.7","828","25.2",".337","101"
"2011","DET","6231","8.4%","18.3%","0.46",".277",".340",".434",".773",".157","4.0",".318","-9.2","-2.3","-3.7","805","104.9",".337","109"
"2007","ATL","6374","8.4%","18.0%","0.46",".275",".339",".435",".774",".160","4.2",".314","0.1","-1.0","-5.3","814","25.7",".337","99"
"2007","NYM","6344","8.7%","15.5%","0.56",".275",".342",".432",".775",".157","5.4",".303","-2.2","1.4","15.0","807","22.5",".336","100"
"2007","CLE","6367","9.3%","18.9%","0.49",".268",".343",".428",".771",".159","4.2",".310","-1.9","10.7","-8.5","815","27.2",".336","104"
"2017","CLE","6234","9.7%","18.5%","0.52",".263",".339",".449",".788",".186","4.7",".295","3.4","3.6","4.1","839","79.0",".336","105"
