"Season","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG"
"2007","NYY","2366","5717","6528","1656","1097","326","32","201","968","929","637","32","991","78","54","41","138","123","40",".290"
"2006","MIN","2226","5602","6228","1608","1156","275","34","143","801","754","490","46","872","50","55","31","163","101","42",".287"
"2007","DET","2269","5757","6364","1652","1073","352","50","177","887","857","474","45","1054","56","45","31","128","103","30",".287"
"2007","SEA","2338","5684","6209","1629","1170","284","22","153","794","754","389","32","861","62","40","33","154","81","30",".287"
"2009","LAA","2246","5622","6305","1604","1105","293","33","173","883","841","547","32","1054","41","52","43","128","148","63",".285"
"2006","NYY","2430","5651","6455","1608","1050","327","21","210","930","902","649","43","1053","72","49","34","139","139","35",".285"
"2006","TOR","2329","5596","6241","1591","1017","348","27","199","809","778","514","31","906","63","52","16","166","65","33",".284"
"2007","LAA","2230","5554","6198","1578","1108","324","23","123","822","776","507","55","883","40","65","32","146","139","55",".284"
"2009","NYY","2369","5660","6449","1604","1014","325","21","244","915","881","663","35","1014","54","39","31","144","111","28",".283"
"2013","DET","2274","5735","6388","1625","1134","292","23","176","796","767","531","40","1073","43","47","32","147","35","20",".283"
"2008","TEX","2281","5728","6478","1619","1014","376","35","194","901","867","595","43","1207","63","54","37","117","81","25",".283"
"2011","TEX","2186","5659","6261","1599","1047","310","32","210","855","807","475","35","930","39","49","39","135","143","45",".283"
"2016","BOS","2284","5670","6320","1598","1022","343","25","208","878","836","558","34","1160","43","40","8","137","83","24",".282"
"2017","HOU","2313","5611","6271","1581","977","346","20","238","896","854","509","27","1087","70","61","11","139","98","42",".282"
"2008","STL","2396","5636","6370","1585","1102","283","26","174","779","744","577","63","985","42","44","71","150","73","32",".281"
"2006","CLE","2135","5619","6303","1576","1002","351","27","196","870","839","556","42","1204","54","43","30","127","55","23",".280"
"2006","CHW","2286","5657","6318","1586","1039","291","20","236","868","839","502","33","1056","58","57","44","118","93","48",".280"
"2011","BOS","2269","5710","6414","1600","1010","352","35","203","875","842","578","52","1108","50","50","22","136","102","42",".280"
"2008","BOS","2293","5596","6402","1565","1006","353","33","173","845","807","646","49","1068","70","62","28","148","120","35",".280"
"2007","COL","2407","5691","6498","1591","1071","313","36","171","860","823","622","51","1152","58","44","83","140","100","31",".280"
"2007","BOS","2278","5589","6426","1561","1008","352","35","166","867","829","689","54","1042","64","54","30","146","96","24",".279"
"2008","MIN","2287","5641","6331","1572","1114","298","49","111","829","791","529","48","979","36","72","52","144","102","42",".279"
"2008","CHC","2345","5588","6384","1552","1018","329","21","184","855","811","636","48","1186","50","45","65","134","87","34",".278"
"2006","TEX","2227","5659","6273","1571","1008","357","23","183","835","799","505","35","1061","40","50","18","148","53","24",".278"
"2006","BAL","2295","5610","6240","1556","1084","288","20","164","768","727","474","35","878","73","41","40","145","121","32",".277"
"2013","BOS","2264","5651","6382","1566","996","363","29","178","853","819","581","51","1308","72","50","24","137","123","19",".277"
"2011","DET","2309","5563","6231","1540","1040","297","34","169","787","750","521","47","1143","39","58","50","142","49","20",".277"
"2014","DET","2330","5630","6202","1557","1051","325","26","155","757","731","443","51","1144","44","61","24","137","106","41",".277"
