"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","EV","ERA","FIP","xFIP","WAR"
"2017","CLE","102","60","37","659","162","1440.2","10.08","2.54","1.02",".303","77.5%","44.1%","13.0%","87.1","3.30","3.33","3.41","30.4"
"2011","PHI","102","60","47","556","162","1477.0","7.92","2.46","0.73",".286","77.5%","46.5%","8.3%","","3.02","3.24","3.41","29.5"
"2018","HOU","103","59","46","672","162","1455.0","10.44","2.69","0.94",".283","77.9%","44.0%","11.6%","87.8","3.11","3.23","3.36","28.6"
"2013","DET","93","69","39","590","162","1462.2","8.79","2.84","0.79",".306","73.7%","45.4%","9.2%","","3.61","3.27","3.43","26.3"
"2019","TBR","96","66","46","765","162","1474.1","9.90","2.77","1.10",".290","73.7%","44.1%","13.4%","87.9","3.67","3.65","3.89","25.1"
"2012","DET","88","74","40","582","162","1430.2","8.29","2.76","0.95",".307","72.7%","43.4%","10.5%","","3.77","3.63","3.74","24.5"
"2018","NYY","100","62","49","670","162","1456.1","10.10","3.05","1.09",".300","73.9%","42.9%","12.9%","87.9","3.78","3.63","3.61","24.4"
"2019","LAD","106","56","44","707","162","1445.2","9.46","2.44","1.15",".271","74.7%","44.9%","14.1%","87.6","3.39","3.73","3.87","24.4"
"2014","WSN","96","66","45","620","162","1470.2","7.88","2.15","0.67",".294","74.9%","44.8%","7.5%","","3.03","3.18","3.43","24.3"
"2008","CHW","89","74","34","626","163","1457.2","7.08","2.84","0.96",".298","71.0%","45.5%","10.0%","","4.11","4.00","4.01","24.1"
"2010","CHW","88","74","43","569","162","1446.1","7.15","3.05","0.85",".305","71.5%","44.9%","8.4%","","4.09","3.80","3.94","24.0"
"2016","WSN","95","67","46","670","162","1459.2","9.10","2.89","0.96",".288","75.0%","43.3%","10.9%","88.1","3.52","3.58","3.82","23.5"
"2019","MIN","101","61","50","686","162","1463.1","9.00","2.78","1.22",".309","71.8%","41.8%","13.4%","88.4","4.18","4.03","4.27","23.5"
"2017","NYY","91","71","36","639","162","1448.2","9.69","3.13","1.19",".280","74.5%","46.2%","14.2%","87.0","3.75","3.88","3.82","23.4"
"2017","BOS","93","69","39","677","162","1482.1","9.59","2.82","1.18",".303","75.7%","41.0%","12.7%","87.5","3.73","3.78","3.91","23.2"
"2011","CHW","79","83","42","572","162","1460.0","7.52","2.71","0.91",".303","71.3%","44.2%","9.4%","","4.10","3.66","3.69","23.2"
"2019","HOU","107","55","47","654","162","1462.1","10.28","2.76","1.42",".270","76.8%","43.6%","16.7%","88.1","3.66","3.98","3.80","23.1"
"2017","WSN","97","65","46","649","162","1446.2","9.06","3.08","1.18",".287","74.4%","44.0%","12.8%","86.8","3.88","3.99","4.12","23.0"
"2008","ARI","82","80","39","606","162","1434.2","7.71","2.83","0.92",".297","70.9%","45.3%","9.9%","","3.99","3.84","3.87","22.9"
"2015","CHC","97","65","48","714","162","1461.1","8.81","2.51","0.83",".287","72.7%","46.6%","10.7%","87.9","3.36","3.30","3.37","22.9"
"2017","ARI","93","69","43","675","162","1441.0","9.26","3.22","1.07",".294","74.2%","48.1%","13.1%","87.9","3.67","3.80","3.86","22.9"
"2007","SDP","89","74","45","648","163","1484.2","6.89","2.87","0.72",".287","71.6%","45.8%","7.4%","","3.72","3.81","4.13","22.7"
"2008","TOR","86","76","44","583","162","1446.2","7.37","2.91","0.83",".284","74.8%","46.6%","9.3%","","3.49","3.81","3.92","22.3"
"2012","TEX","93","69","43","590","162","1442.0","8.03","2.78","1.09",".292","71.5%","43.9%","11.6%","","4.02","3.90","3.86","22.2"
"2015","WSN","83","79","41","630","162","1434.2","8.42","2.28","0.91",".300","72.7%","44.7%","10.3%","87.6","3.62","3.45","3.58","22.2"
"2019","WSN","93","69","40","692","162","1439.1","9.45","3.23","1.26",".296","73.0%","42.6%","13.9%","88.6","4.28","4.14","4.32","22.0"
"2018","CLE","91","71","41","670","162","1457.1","9.54","2.51","1.24",".298","76.0%","42.5%","13.7%","88.3","3.77","3.79","3.66","21.9"
"2017","LAD","104","58","51","698","162","1444.2","9.65","2.75","1.15",".281","77.8%","42.7%","13.4%","86.3","3.38","3.67","3.70","21.7"
"2019","CLE","93","69","42","684","162","1437.2","9.44","2.82","1.30",".291","76.0%","39.7%","13.6%","88.6","3.79","4.06","4.30","21.7"
"2010","COL","83","79","35","675","162","1442.0","7.70","3.28","0.87",".302","70.8%","46.5%","9.6%","","4.14","3.83","3.80","21.6"
"2016","NYM","87","75","55","700","162","1447.0","8.68","2.73","0.95",".308","75.6%","44.2%","11.1%","88.6","3.58","3.57","3.78","21.5"
"2006","LAA","89","73","50","542","162","1452.2","7.21","2.92","0.98",".291","70.1%","42.3%","9.2%","","4.04","4.03","4.28","21.3"
"2013","TEX","91","72","46","638","163","1463.1","8.05","3.06","0.97",".293","75.5%","42.8%","10.7%","","3.63","3.77","3.75","21.2"
"2015","CLE","81","80","38","637","161","1432.2","8.84","2.67","1.01",".288","72.8%","44.5%","11.7%","88.5","3.68","3.62","3.57","21.1"
"2009","COL","92","70","45","646","162","1438.1","7.22","3.30","0.88",".299","71.3%","47.3%","9.9%","","4.24","3.96","3.99","21.0"
"2012","LAD","86","76","40","668","162","1449.2","7.92","3.35","0.76",".283","74.8%","45.5%","8.9%","","3.35","3.64","3.93","20.8"
"2013","LAD","92","70","46","666","162","1450.1","8.02","2.85","0.79",".291","75.4%","47.1%","9.9%","","3.25","3.45","3.52","20.6"
"2008","CHC","97","64","44","639","161","1450.2","7.84","3.40","0.99",".281","74.0%","41.6%","9.8%","","3.87","4.09","4.14","20.6"
"2006","MIN","96","66","40","583","162","1439.1","7.28","2.23","1.14",".302","73.7%","43.7%","11.3%","","3.95","3.99","3.93","20.6"
"2015","STL","100","62","62","677","162","1464.2","8.17","2.93","0.76",".297","79.4%","48.0%","9.4%","87.9","2.94","3.48","3.71","20.6"
"2014","CHC","73","89","37","699","162","1463.1","8.06","3.10","0.71",".304","69.6%","44.0%","8.0%","","3.92","3.51","3.70","20.5"
"2007","CLE","96","66","49","557","162","1462.2","6.44","2.52","0.90",".302","71.9%","45.3%","8.7%","","4.05","4.06","4.21","20.5"
"2012","TBR","90","72","50","634","162","1459.2","8.53","2.89","0.86",".277","75.5%","47.9%","10.7%","","3.19","3.51","3.59","20.4"
"2019","NYM","86","76","38","664","162","1461.0","9.36","3.08","1.26",".304","73.1%","43.4%","13.9%","87.6","4.25","4.10","4.29","20.4"
"2014","CLE","85","77","40","735","162","1468.1","8.89","2.84","0.83",".309","73.2%","46.7%","10.0%","","3.57","3.42","3.36","20.3"
"2009","CHW","79","83","36","577","162","1439.2","7.00","3.17","1.06",".294","71.7%","44.3%","10.3%","","4.16","4.21","4.19","20.2"
"2007","LAA","94","68","43","558","162","1435.0","7.25","2.99","0.95",".307","71.1%","42.2%","8.6%","","4.23","4.10","4.26","20.0"
"2016","LAD","91","71","47","768","162","1453.0","9.35","2.87","1.02",".288","73.8%","42.8%","11.7%","87.3","3.70","3.61","3.75","20.0"
"2008","LAD","84","78","35","623","162","1447.1","7.49","2.98","0.76",".295","72.6%","49.6%","9.3%","","3.68","3.67","3.77","20.0"
"2011","LAD","82","79","40","622","161","1432.0","7.95","3.19","0.83",".285","74.1%","42.8%","8.8%","","3.56","3.61","3.72","20.0"
"2007","LAD","82","80","43","645","162","1450.0","7.35","3.22","0.91",".301","70.9%","45.5%","9.6%","","4.20","4.07","4.07","20.0"
"2012","PHI","81","81","42","602","162","1451.1","8.59","2.54","1.10",".298","72.9%","43.5%","12.1%","","3.86","3.72","3.61","19.8"
"2006","LAD","88","74","40","616","162","1460.1","6.58","3.03","0.94",".302","70.8%","47.8%","9.7%","","4.23","4.13","4.29","19.7"
"2015","LAD","92","70","47","677","162","1445.2","8.69","2.46","0.90",".296","74.7%","50.1%","12.1%","87.4","3.46","3.41","3.33","19.7"
